Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG
301;Dan Nlundulu;eng ENG;FW;Southampton;21-319;1999;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
302;Mark Noble;eng ENG;MF;West Ham;33-226;1987;1.0;1;0.98;0;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
303;Oliver Norwood;nir NIR;MF;Sheffield Utd;29-252;1991;4.7;9;1.91;7;2;0;0;0;0;0;0.00;0;0;0;0;0;0;0
304;Jack O'Connell;eng ENG;DF;Sheffield Utd;26-266;1994;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
305;Dara O'Shea;ie IRL;DF;West Brom;21-291;1999;7.1;7;0.98;6;1;0;0;0;0;1;0.14;1;0;0;0;0;0;0
306;Michael Obafemi;ie IRL;FW;Southampton;20-167;2000;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
307;Denis Odoi;be BEL;DF;Fulham;32-207;1988;3.0;5;1.67;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
308;Angelo Ogbonna;it ITA;DF;West Ham;32-211;1988;12.7;5;0.39;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
309;Robin Olsen;se SWE;GK;Everton;30-347;1990;2.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
310;Josh Onomah;eng ENG;MF;Fulham;23-237;1997;1.5;1;0.69;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
311;Divock Origi;be BEL;FW;Liverpool;25-246;1995;0.1;1;10.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
312;Ben Osborn;eng ENG;MF,DF;Sheffield Utd;26-137;1994;4.4;5;1.13;4;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
313;Owen Otasowie;us USA;MF;Wolves;19-244;2001;0.5;3;6.00;3;0;0;0;0;0;1;2.00;1;0;0;0;0;0;0
314;Alex Oxlade-Chamberlain;eng ENG;FW;Liverpool;27-127;1993;0.2;1;5.63;1;0;0;0;0;0;1;5.63;1;0;0;0;0;0;0
315;Emerson Palmieri;it ITA;DF;Chelsea;26-139;1994;0.1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
316;Thomas Partey;gh GHA;MF;Arsenal;27-190;1993;3.1;3;0.97;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
317;Rui Patrício;pt POR;GK;Wolves;32-309;1988;13.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
318;Bailey Peacock-Farrell;nir NIR;GK;Burnley;24-052;1996;1.0;1;1.00;0;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
319;Lee Peltier;eng ENG;MF;West Brom;34-009;1986;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
320;Nicolas Pépé;ci CIV;FW,MF;Arsenal;25-205;1995;4.8;3;0.62;1;2;0;0;0;0;1;0.21;1;0;0;0;0;0;0
321;Matheus Pereira;br BRA;MF,FW;West Brom;24-229;1996;8.7;38;4.36;23;10;1;1;2;1;5;0.57;2;1;0;0;1;1;0
322;Ayoze Pérez;es ESP;MF,FW;Leicester City;27-150;1993;4.9;20;4.11;15;0;3;2;0;0;4;0.82;3;0;1;0;0;0;0
323;Kalvin Phillips;eng ENG;MF;Leeds United;25-018;1995;10.0;24;2.40;16;6;0;1;0;1;1;0.10;1;0;0;0;0;0;0
324;Matt Phillips;sco SCO;MF,DF;West Brom;29-282;1991;4.0;12;3.03;8;3;1;0;0;0;1;0.25;1;0;0;0;0;0;0
325;Nathaniel Phillips;eng ENG;DF;Liverpool;23-274;1997;2.0;1;0.50;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
326;Jordan Pickford;eng ENG;GK;Everton;26-288;1994;12.0;4;0.33;3;1;0;0;0;0;2;0.17;2;0;0;0;0;0;0
327;Erik Pieters;nl NED;DF,MF;Burnley;32-135;1988;1.9;1;0.52;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
328;Daniel Podence;pt POR;FW,MF;Wolves;25-060;1995;10.0;38;3.79;25;1;8;1;2;1;6;0.60;2;0;4;0;0;0;0
329;Paul Pogba;fr FRA;MF,FW;Manchester Utd;27-280;1993;7.2;19;2.66;13;1;0;1;3;1;0;0.00;0;0;0;0;0;0;0
330;Nick Pope;eng ENG;GK;Burnley;28-245;1992;11.0;2;0.18;1;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
331;Dennis Praet;be BEL;MF,FW;Leicester City;26-220;1994;6.5;11;1.70;10;0;0;0;0;1;2;0.31;2;0;0;0;0;0;0
332;Christian Pulisic;us USA;FW,MF;Chelsea;22-093;1998;3.8;13;3.42;9;0;2;1;0;1;1;0.26;1;0;0;0;0;0;0
333;Aaron Ramsdale;eng ENG;GK;Sheffield Utd;22-220;1998;13.0;5;0.38;4;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
334;Jacob Ramsey;eng ENG;MF;Aston Villa;19-206;2001;1.2;1;0.87;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
335;Marcus Rashford;eng ENG;FW;Manchester Utd;23-050;1997;11.4;35;3.08;28;0;4;0;3;0;4;0.35;4;0;0;0;0;0;0
336;Tim Ream;us USA;DF;Fulham;33-076;1987;5.0;1;0.20;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
